"id","response","is_correct","word_id","created_at","updated_at"
"48","Revolución comunista en China contra Japón.","0","16",NULL,NULL
"49","Movimiento cultural europeo que revivió el arte, la ciencia y la filosofía de la Antigüedad.","1","17",NULL,NULL
"50","Rebelión obrera del siglo XIX en Inglaterra.","0","17",NULL,NULL
"51","Período de expansión del Imperio Otomano en África.","0","17",NULL,NULL
"52","Doctrina medieval sobre la supremacía religiosa.","0","18",NULL,NULL
"53","Política de expansión y dominación territorial de una nación sobre otra.","1","18",NULL,NULL
"54","Sistema filosófico basado en la introspección. ","0","18",NULL,NULL
"55","Pueblo fenicio que fundó Cartago y luchó contra Roma en las Guerras Púnicas.","1","19",NULL,NULL
"56","Tribu germánica que invadió Constantinopla.","0","19",NULL,NULL
"57","Habitantes de Egipto durante el periodo del Imperio Medio.","0","19",NULL,NULL
"58","Periodo entre la Antigüedad y la Edad Moderna caracterizado por el feudalismo y la influencia de la Iglesia.","1","20",NULL,NULL
"59","Etapa de expansión del Islam en Asia Central durante el siglo XIX.","0","20",NULL,NULL
"60","Movimiento social surgido en la Revolución Francesa","0","20",NULL,NULL
"61","Técnica de composición musical donde el compositor determina algunos aspectos de la obra al azar.","1","21",NULL,NULL
"62","Técnica que consiste en usar solo intervalos de cuartas y quintas en las composiciones.","0","21",NULL,NULL
"63","Estilo de música basado en melodías predecibles y simples.","0","21",NULL,NULL
"64","Relación armónica entre dos notas musicales que suenan agradables al oído.","1","22",NULL,NULL
"65","Técnica vocal en la que los cantantes deben hacer cambios rápidos de tono","0","22",NULL,NULL
"66","Composición musical que usa solo disonancias para generar tensión.","0","22",NULL,NULL
"67","Sistema de composición que usa las 12 notas de la escala cromática sin jerarquía tonal.","1","23",NULL,NULL
"68","Composición que se basa únicamente en las primeras 7 notas de la escala mayor.","0","23",NULL,NULL
"69","Técnica que se usa exclusivamente para crear música electrónica experimental","0","23",NULL,NULL
"70","Composición en la que un tema principal es repetido y variado en diferentes voces.","1","24",NULL,NULL
"71","Técnica de percusión donde se tocan distintos tambores a la vez en un solo ritmo. ","0","24",NULL,NULL
"72","Estilo musical que busca crear caos y disonancia de manera aleatoria.","0","24",NULL,NULL
"73","Técnica de deslizamiento en un instrumento musical, generalmente de cuerda o viento, que cubre un intervalo de notas.","1","25",NULL,NULL
"74","Técnica de canto en la que las vocales se mantienen prolongadas sin variaciones.","0","25",NULL,NULL
"75","Composición que se toca solo con un instrumento de viento. ","0","25",NULL,NULL
"76","Técnica musical en la que varias voces o instrumentos tocan el mismo ritmo, pero con diferentes notas.","1","26",NULL,NULL
"77","Composición musical que se caracteriza por el uso exclusivo de percusión.","0","26",NULL,NULL
"78","Estilo de música en el que se tocan varias melodías de forma completamente independiente.","0","26",NULL,NULL
"79","Composición vocal o instrumental que expresa tristeza o dolor.","1","27",NULL,NULL
"80","Estilo de música de danza rápida originado en los años 60.","0","27",NULL,NULL
"81","Técnica de canto que utiliza sonidos guturales para generar tensión","0","27",NULL,NULL
"82","Uso de intervalos musicales más pequeños que el semitono, creando escalas con más notas.","1","28",NULL,NULL
"83","Uso de intervalos musicales que siguen las normas estrictas de la música clásica.","0","28",NULL,NULL
"84","Técnica musical que usa solo dos notas para crear armonías simples.","0","28",NULL,NULL
"85","Técnica musical en la que se combinan varias melodías independientes en una composición.","1","29",NULL,NULL
"86","Estilo de música en el que todos los instrumentos tocan la misma nota al mismo tiempo.","0","29",NULL,NULL
"87","Composición donde una sola voz o instrumento se encarga de todo el ritmo y armonía.","0","29",NULL,NULL
"88","Característica que describe la riqueza o calidad del sonido producido por un instrumento o voz.","1","30",NULL,NULL
"89","Composición musical que usa solo intervalos de terceras y cuartas.","0","30",NULL,NULL
"90","Técnica vocal que busca emular sonidos de animales en la naturaleza.","0","30",NULL,NULL
